Training loss: 1.0760, validation loss: 0.2620, best val loss: 0.2620
Training loss: 0.2188, validation loss: 0.1483, best val loss: 0.1483
Training loss: 0.1223, validation loss: 0.0889, best val loss: 0.0889
Training loss: 0.0778, validation loss: 0.0755, best val loss: 0.0755
Training loss: 0.0547, validation loss: 0.0571, best val loss: 0.0571
Training loss: 0.0443, validation loss: 0.0547, best val loss: 0.0547
Training loss: 0.0390, validation loss: 0.0437, best val loss: 0.0437
Training loss: 0.0362, validation loss: 0.0413, best val loss: 0.0413
Training loss: 0.0337, validation loss: 0.0371, best val loss: 0.0371
Training loss: 0.0319, validation loss: 0.0377, best val loss: 0.0371
Training loss: 0.0303, validation loss: 0.0315, best val loss: 0.0315
Training loss: 0.0292, validation loss: 0.0335, best val loss: 0.0315
Training loss: 0.0286, validation loss: 0.0310, best val loss: 0.0310
Training loss: 0.0332, validation loss: 0.0366, best val loss: 0.0310
Training loss: 0.0272, validation loss: 0.0322, best val loss: 0.0310
Training loss: 0.0261, validation loss: 0.0294, best val loss: 0.0294
Training loss: 0.0251, validation loss: 0.0374, best val loss: 0.0294
Training loss: 0.0251, validation loss: 0.0264, best val loss: 0.0264
Training loss: 0.0251, validation loss: 0.0277, best val loss: 0.0264
Training loss: 0.0243, validation loss: 0.0345, best val loss: 0.0264
Training loss: 0.0238, validation loss: 0.0310, best val loss: 0.0264
Training loss: 0.0232, validation loss: 0.0302, best val loss: 0.0264
Training loss: 0.0232, validation loss: 0.0233, best val loss: 0.0233
Training loss: 0.0223, validation loss: 0.0263, best val loss: 0.0233
Training loss: 0.0220, validation loss: 0.0280, best val loss: 0.0233
Training loss: 0.0217, validation loss: 0.0254, best val loss: 0.0233
Training loss: 0.0216, validation loss: 0.0281, best val loss: 0.0233
Training loss: 0.0207, validation loss: 0.0258, best val loss: 0.0233
Training loss: 0.0205, validation loss: 0.0243, best val loss: 0.0233
Training loss: 0.0204, validation loss: 0.0268, best val loss: 0.0233
Training loss: 0.0200, validation loss: 0.0226, best val loss: 0.0226
Training loss: 0.0198, validation loss: 0.0223, best val loss: 0.0223
Training loss: 0.0196, validation loss: 0.0251, best val loss: 0.0223
Training loss: 0.0192, validation loss: 0.0250, best val loss: 0.0223
Training loss: 0.0195, validation loss: 0.0257, best val loss: 0.0223
Training loss: 0.0189, validation loss: 0.0236, best val loss: 0.0223
Training loss: 0.0185, validation loss: 0.0253, best val loss: 0.0223
Training loss: 0.0185, validation loss: 0.0230, best val loss: 0.0223
Training loss: 0.0185, validation loss: 0.0220, best val loss: 0.0220
Training loss: 0.0183, validation loss: 0.0216, best val loss: 0.0216
Training loss: 0.0182, validation loss: 0.0226, best val loss: 0.0216
Training loss: 0.0178, validation loss: 0.0264, best val loss: 0.0216
Training loss: 0.0174, validation loss: 0.0221, best val loss: 0.0216
Training loss: 0.0197, validation loss: 0.0228, best val loss: 0.0216
Training loss: 0.0174, validation loss: 0.0231, best val loss: 0.0216
Training loss: 0.0169, validation loss: 0.0211, best val loss: 0.0211
Training loss: 0.0170, validation loss: 0.0215, best val loss: 0.0211
Training loss: 0.0167, validation loss: 0.0243, best val loss: 0.0211
Training loss: 0.0167, validation loss: 0.0266, best val loss: 0.0211
Training loss: 0.0164, validation loss: 0.0239, best val loss: 0.0211
Training loss: 0.0163, validation loss: 0.0223, best val loss: 0.0211
Training loss: 0.0165, validation loss: 0.0217, best val loss: 0.0211
Training loss: 0.0164, validation loss: 0.0217, best val loss: 0.0211
Training loss: 0.0161, validation loss: 0.0235, best val loss: 0.0211
Training loss: 0.0161, validation loss: 0.0215, best val loss: 0.0211
Training loss: 0.0158, validation loss: 0.0234, best val loss: 0.0211
Training loss: 0.0157, validation loss: 0.0229, best val loss: 0.0211
Training loss: 0.0160, validation loss: 0.0212, best val loss: 0.0211
Training loss: 0.0154, validation loss: 0.0232, best val loss: 0.0211
Training loss: 0.0155, validation loss: 0.0214, best val loss: 0.0211
Training loss: 0.0151, validation loss: 0.0213, best val loss: 0.0211
Training loss: 0.0153, validation loss: 0.0234, best val loss: 0.0211
Training loss: 0.0151, validation loss: 0.0210, best val loss: 0.0210
Training loss: 0.0149, validation loss: 0.0221, best val loss: 0.0210
Training loss: 0.0148, validation loss: 0.0215, best val loss: 0.0210
Training loss: 0.0156, validation loss: 0.0243, best val loss: 0.0210
Training loss: 0.0149, validation loss: 0.0203, best val loss: 0.0203
Training loss: 0.0147, validation loss: 0.0210, best val loss: 0.0203
Training loss: 0.0145, validation loss: 0.0227, best val loss: 0.0203
Training loss: 0.0146, validation loss: 0.0248, best val loss: 0.0203
Training loss: 0.0143, validation loss: 0.0234, best val loss: 0.0203
Training loss: 0.0142, validation loss: 0.0213, best val loss: 0.0203
Training loss: 0.0144, validation loss: 0.0239, best val loss: 0.0203
Training loss: 0.0140, validation loss: 0.0227, best val loss: 0.0203
Training loss: 0.0140, validation loss: 0.0239, best val loss: 0.0203
Training loss: 0.0141, validation loss: 0.0230, best val loss: 0.0203
Training loss: 0.0138, validation loss: 0.0235, best val loss: 0.0203
Training loss: 0.0138, validation loss: 0.0238, best val loss: 0.0203
Training loss: 0.0138, validation loss: 0.0239, best val loss: 0.0203
Training loss: 0.0137, validation loss: 0.0261, best val loss: 0.0203
Training loss: 0.0136, validation loss: 0.0249, best val loss: 0.0203
Training loss: 0.0135, validation loss: 0.0231, best val loss: 0.0203
Training loss: 0.0144, validation loss: 0.0227, best val loss: 0.0203
Training loss: 0.0137, validation loss: 0.0250, best val loss: 0.0203
Training loss: 0.0136, validation loss: 0.0251, best val loss: 0.0203
Training loss: 0.0133, validation loss: 0.0222, best val loss: 0.0203
Training loss: 0.0133, validation loss: 0.0232, best val loss: 0.0203
Training loss: 0.0131, validation loss: 0.0237, best val loss: 0.0203
Training loss: 0.0132, validation loss: 0.0251, best val loss: 0.0203
Training loss: 0.0132, validation loss: 0.0214, best val loss: 0.0203
Training loss: 0.0129, validation loss: 0.0243, best val loss: 0.0203
Training loss: 0.0131, validation loss: 0.0241, best val loss: 0.0203
